City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
177,Trelew,AR,-43.25,-65.31,49.82,55,100,12.17,overcast clouds
178,Manzanillo,CU,20.34,-77.12,76.62,93,100,16.62,heavy intensity rain
179,Matagami,CA,49.75,-77.63,41.0,93,1,3.36,clear sky
180,Tatawin,TN,32.93,10.45,75.2,83,20,4.7,few clouds
181,Fort Nelson,CA,58.81,-122.7,51.8,100,75,2.24,broken clouds
182,Bambanglipuro,ID,-7.95,110.28,83.8,62,27,15.35,scattered clouds
183,Wollongong,AU,-34.43,150.88,63.0,46,6,1.7,clear sky
184,Kodiak,US,57.79,-152.41,57.2,82,1,3.36,clear sky
185,Port Hardy,CA,50.7,-127.42,50.0,100,5,3.36,clear sky
186,Paamiut,GL,61.99,-49.67,42.03,88,0,10.0,clear sky
187,Saldanha,ZA,-33.01,17.94,56.8,82,94,10.76,overcast clouds
188,San Patricio,MX,19.22,-104.7,78.89,86,100,2.24,light rain
189,Port Moresby,PG,-9.44,147.18,80.6,69,75,17.22,haze
190,Cabedelo,BR,-6.98,-34.83,68.0,100,71,5.82,broken clouds
191,Novyy Urengoy,RU,66.08,76.63,54.12,92,100,9.73,light rain
192,Alghero,IT,40.56,8.32,75.2,64,20,2.24,few clouds
193,Rocky Mountain House,CA,52.37,-114.92,52.3,93,100,4.99,overcast clouds
194,Marawi,PH,8.0,124.29,84.99,79,4,4.0,moderate rain
195,Elizabeth City,US,36.29,-76.25,77.0,83,40,8.05,scattered clouds
196,Trairi,BR,-3.28,-39.27,74.08,81,83,9.73,broken clouds
197,Portland,US,45.52,-122.68,66.99,59,1,8.05,clear sky
198,Henties Bay,NA,-22.12,14.28,53.01,93,0,1.01,clear sky
199,Palatka,US,29.65,-81.64,81.0,99,98,4.65,overcast clouds
200,Anadyr,RU,64.75,177.48,55.4,76,75,6.71,broken clouds
201,Avera,US,33.19,-82.53,73.4,90,1,4.7,clear sky
202,Eyl,SO,7.98,49.82,88.0,42,36,27.07,scattered clouds
203,Pangnirtung,CA,66.15,-65.71,43.52,82,100,1.77,overcast clouds
204,Pestravka,RU,52.41,49.96,72.12,56,27,9.01,scattered clouds
205,Lata,PT,40.16,-8.33,62.01,89,0,3.0,clear sky
206,Namtsy,RU,62.72,129.67,53.6,54,72,17.9,broken clouds
207,Muravlenko,RU,63.79,74.52,62.87,68,99,13.42,light rain
208,Rabo De Peixe,PT,37.8,-25.58,71.6,88,75,4.7,broken clouds
209,Hasaki,JP,35.73,140.83,93.0,66,20,10.29,few clouds
210,Pandamatenga,BW,-18.53,25.63,68.63,38,0,7.43,clear sky
211,Ferme-Neuve,CA,46.7,-75.45,59.86,88,100,1.99,overcast clouds
212,Morgan City,US,29.7,-91.21,75.99,100,1,5.82,clear sky
213,Dalnegorsk,RU,44.56,135.57,72.27,74,97,7.94,overcast clouds
214,Paramonga,PE,-10.67,-77.83,59.23,85,64,8.25,broken clouds
215,Preobrazheniye,RU,42.9,133.91,72.23,74,100,5.46,overcast clouds
216,Araguacu,BR,-12.93,-49.83,81.27,41,100,4.76,overcast clouds
217,Colares,PT,38.8,-9.45,68.0,88,20,9.17,few clouds
218,Nannilam,IN,10.88,79.61,92.79,51,100,6.17,overcast clouds
219,Tabas,IR,33.6,56.92,98.6,16,0,2.24,clear sky
220,Swan River,CA,52.11,-101.27,58.86,74,11,5.88,few clouds
221,Salumbar,IN,24.13,74.05,78.8,88,90,9.17,haze
222,Isangel,VU,-19.55,169.27,78.39,84,27,2.3,light rain
223,Lagoa,PT,39.05,-27.98,72.75,89,0,19.62,clear sky
224,Hamilton,US,39.18,-84.53,71.6,94,1,3.89,mist
